POINT;MSE_RIDGE;MAE_RIDGE;MAPE_RIDGE;MSE_HYB;MAE_HYB;MAPE_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;x;y
77.04_11.72;0.0018625494505989308;0.042299004923436065;81.157;0.0008300464067624235;0.022263109049161466;45.697;-0.0010325030438365073;-0.0200358958742746;-35.459999999999994;77.04;11.72
76.84_11.72;0.0006112017502288892;0.023421169770191444;47.987;0.00035890539989825727;0.01635886933666488;38.333;-0.00025229635033063196;-0.007062300433526562;-9.654000000000003;76.84;11.72
76.64_11.72;0.00039710368182952914;0.01848601327420717;35.721;0.00010870538706450822;0.008884948638000111;17.981;-0.0002883982947650209;-0.009601064636207059;-17.739999999999995;76.64;11.72
76.44_11.72;0.0007125054800747866;0.025841801853887555;40.36;0.00029389413586261966;0.015127769890743731;23.955;-0.0004186113442121669;-0.010714031963143824;-16.405;76.44;11.72
76.24_11.72;0.0007197040858600267;0.02600772210501925;40.539;0.00016618298706777164;0.00999361027554285;16.416;-0.000553521098792255;-0.016014111829476402;-24.123;76.24;11.72
76.04_11.72;0.0004531974680369035;0.02025274417301776;29.859;0.00018030049551908596;0.011465454250010469;17.825;-0.0002728969725178176;-0.00878728992300729;-12.034000000000002;76.04;11.72
75.84_11.72;0.0004407250672581387;0.01988242953989473;36.7;0.00028724214060472345;0.012833387947808427;23.553;-0.00015348292665341527;-0.0070490415920863025;-13.147000000000002;75.84;11.72
75.64_11.72;0.0004049965176480503;0.01901685920537214;35.045;0.0006633199782708901;0.02345445099192484;42.859;0.00025832346062283976;0.004437591786552699;7.814;75.64;11.72
75.44_11.72;0.0007424681953489599;0.02624292766145294;50.407;0.0001366857057670747;0.009307929461373718;18.094;-0.0006057824895818853;-0.016934998200079224;-32.312999999999995;75.44;11.72
75.24_11.72;0.00014162427091361942;0.010814318003952389;21.718;7.18228701635e-05;0.006511419119184418;13.069;-6.980140075011941e-05;-0.004302898884767971;-8.649;75.24;11.72
75.04_11.72;0.00021020369521341945;0.011970669643517064;23.236;9.928835916334028e-05;0.00756209497020835;14.291;-0.00011091533605007917;-0.004408574673308714;-8.945;75.04;11.72
77.44_12.72;0.0016074199945298384;0.037381884678913256;73.943;0.0003492751923378785;0.015589886660979133;33.814;-0.0012581448021919599;-0.021791998017934123;-40.129;77.44;12.72
77.24_12.72;0.0017508705263049637;0.04060021856101343;84.491;0.0001757092405744491;0.01170472061126265;25.696;-0.0015751612857305146;-0.02889549794975078;-58.795;77.24;12.72
77.04_12.72;0.002027526373973087;0.044076111030609065;86.82;0.0002420215067014566;0.013310631274820652;27.558;-0.0017855048672716302;-0.030765479755788413;-59.26199999999999;77.04;12.72
76.84_12.72;0.0013936415892471857;0.03554377493692045;69.422;0.0002913126599675637;0.01423678909430002;30.209;-0.001102328929279622;-0.021306985842620432;-39.212999999999994;76.84;12.72
76.64_12.72;0.001106566406859402;0.031220112148058313;61.879;0.0005022544225892626;0.019514783772123418;44.262;-0.0006043119842701395;-0.011705328375934895;-17.616999999999997;76.64;12.72
76.44_12.72;0.0010963092944068034;0.03090150750643766;61.294;0.00022481670307899004;0.012465877269794506;28.571;-0.0008714925913278133;-0.018435630236643154;-32.723;76.44;12.72
76.24_12.72;0.0007790148399366599;0.026799664154048566;51.658;0.00030266071259825065;0.015055721881062833;31.351;-0.00047635412733840925;-0.011743942272985733;-20.307000000000002;76.24;12.72
76.04_12.72;0.0008808154175682875;0.02882435273856014;53.988;0.0009537919282606389;0.028135414318446753;53.108;7.297651069235135e-05;-0.0006889384201133886;-0.8800000000000026;76.04;12.72
75.84_12.72;0.0012737808308537586;0.03334067428591551;71.46;0.0007005662955546692;0.02365720358072114;49.493;-0.0005732145352990894;-0.009683470705194368;-21.96699999999999;75.84;12.72
75.64_12.72;0.0011422691883370565;0.03146433860829288;67.477;0.00013772070877367452;0.009979491430651329;23.316;-0.001004548479563382;-0.021484847177641556;-44.161;75.64;12.72
75.44_12.72;0.0012672065316606243;0.032386787872947125;69.855;0.00015040977812146098;0.010381990043579838;24.383;-0.0011167967535391633;-0.022004797829367286;-45.47200000000001;75.44;12.72
75.24_12.72;0.001278237947423833;0.03484729864660707;80.315;0.00010433840186691524;0.008320175832096077;19.147;-0.0011738995455569177;-0.026527122814510994;-61.168;75.24;12.72
